
央视咪咕,#genre#
内蒙古卫视,http://hms2884nc1972666631.live.aikan.miguvideo.com/wh7f454c46tw1239265490_-579753415/PLTV/88888888/224/3221231478/index.m3u8?icpid=88888888&RTS=1662527244&from=12&hms_devid=2884&online=1662527244
新疆卫视,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw1210189584_-41543184/PLTV/88888888/224/3221231451/index.m3u8?icpid=88888888&RTS=1662527215&from=12&hms_devid=2844&online=1662527215
兵团卫视,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw1224418013_-21385993/PLTV/88888888/224/3221231469/index.m3u8?icpid=88888888&RTS=1662527230&from=12&hms_devid=2904&online=1662527230
山东教育卫视,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw1731485289_-277488798/PLTV/88888888/224/3221231549/index.m3u8?icpid=88888888&RTS=1662527737&from=12&hms_devid=2904&online=1662527737
CHC家庭影院,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw2927563856_669810088/PLTV/88888888/224/3221231799/index.m3u8?icpid=88888888&RTS=1662528933&from=12&hms_devid=2864&online=1662528933
CHC动作电影,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw1796862815_-1042602687/PLTV/88888888/224/3221231580/index.m3u8?icpid=88888888&RTS=1662527802&from=12&hms_devid=2904&online=1662527802
咪咕每日推影,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw2882463281_-1350118935/PLTV/88888888/224/3221231727/index.m3u8?icpid=88888888&RTS=1662528888&from=12&hms_devid=2844&online=1662528888
成龙,http://hms2904nc1972666633.live.aikan.miguvideo.com/wh7f454c46tw2544352989_-2067404822/PLTV/88888888/224/3221231687/index.m3u8?icpid=88888888&RTS=1662528550&from=12&hms_devid=2904&online=1662528550
郭富城,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw2559925755_-757441976/PLTV/88888888/224/3221231688/index.m3u8?icpid=88888888&RTS=1662528565&from=12&hms_devid=2904&online=1662528565
周润发,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw3023092687_-1219831559/PLTV/88888888/224/3221231709/index.m3u8?icpid=88888888&RTS=1662529028&from=12&hms_devid=2944&online=1662529028
古天乐,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw2480959290_965243375/PLTV/88888888/224/3221231645/index.m3u8?icpid=88888888&RTS=1662528486&from=12&hms_devid=2844&online=1662528486
TVB剧场,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw3089838367_-2093009581/PLTV/88888888/224/3221231733/index.m3u8?icpid=88888888&RTS=1662529095&from=12&hms_devid=2844&online=1662529095
林正英,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw3135317942_466998172/PLTV/88888888/224/3221231742/index.m3u8?icpid=88888888&RTS=1662529141&from=12&hms_devid=2904&online=1662529141
刘亦菲,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw3207056993_2003176872/PLTV/88888888/224/3221231787/index.m3u8?icpid=88888888&RTS=1662529212&from=12&hms_devid=2864&online=1662529212
爱情公寓,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw1976897156_-218654840/PLTV/88888888/224/3221231583/index.m3u8?icpid=88888888&RTS=1662527982&from=12&hms_devid=2844&online=1662527982
新片放映厅,http://hms2904nc1972666633.live.aikan.miguvideo.com/wh7f454c46tw2446472336_-1879569697/PLTV/88888888/224/3221231640/index.m3u8?icpid=88888888&RTS=1662528452&from=12&hms_devid=2904&online=1662528452
军旅剧场,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1990085696_273651225/PLTV/88888888/224/3221231585/index.m3u8?icpid=88888888&RTS=1662527995&from=12&hms_devid=2944&online=1662527995
金庸频道,http://hms2864nc1972666629.live.aikan.miguvideo.com/wh7f454c46tw1344063919_72801388/PLTV/88888888/224/3221231477/index.m3u8?icpid=88888888&RTS=1662527349&from=12&hms_devid=2864&online=1662527349
高能烧脑时刻,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw1863272510_1351445733/PLTV/88888888/224/3221231504/index.m3u8?icpid=88888888&RTS=1662527868&from=12&hms_devid=2864&online=1662527868
怀旧老片,http://hms2924nc1972666635.live.aikan.miguvideo.com/wh7f454c46tw1889209532_1423673521/PLTV/88888888/224/3221231513/index.m3u8?icpid=88888888&RTS=1662527894&from=12&hms_devid=2924&online=1662527894
杨幂,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1905617348_-1786380159/PLTV/88888888/224/3221231556/index.m3u8?icpid=88888888&RTS=1662527911&from=12&hms_devid=2944&online=1662527911
周星驰,http://hms2924nc1972666635.live.aikan.miguvideo.com/wh7f454c46tw1919656996_386723083/PLTV/88888888/224/3221231562/index.m3u8?icpid=88888888&RTS=1662527925&from=12&hms_devid=2924&online=1662527925
战斗剧场,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw1933327216_1147041814/PLTV/88888888/224/3221231564/index.m3u8?icpid=88888888&RTS=1662527939&from=12&hms_devid=2844&online=1662527939
云上电影院,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw1946843740_-1196976744/PLTV/88888888/224/3221231565/index.m3u8?icpid=88888888&RTS=1662527952&from=12&hms_devid=2844&online=1662527952
游戏风云,http://hms2924nc1972666636.live.aikan.miguvideo.com/wh7f454c46tw2907452505_654799179/PLTV/88888888/224/3221231730/index.m3u8?icpid=88888888&RTS=1662528913&from=12&hms_devid=2924&online=1662528913
体育,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw2991044774_-1278532516/PLTV/88888888/224/3221231778/index.m3u8?icpid=88888888&RTS=1662528996&from=12&hms_devid=2944&online=1662528996
东方影院,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw2605260802_-1922181611/PLTV/88888888/224/3221231639/index.m3u8?icpid=88888888&RTS=1662528610&from=12&hms_devid=2844&online=1662528610
